code,mard_code,hex,r,g,b
H23,Mard_H23,#9A9D94,154,157,148
M1,Mard_M1,#BCC6B8,188,198,184
M2,Mard_M2,#8AA386,138,163,134
M3,Mard_M3,#697D80,105,125,128
M4,Mard_M4,#E3D2BC,227,210,188
M5,Mard_M5,#D0CCAA,208,204,170
M6,Mard_M6,#B0A782,176,167,130
M7,Mard_M7,#B4A497,180,164,151
M8,Mard_M8,#B38281,179,130,129
M9,Mard_M9,#A58767,165,135,103
M10,Mard_M10,#C5B2BC,197,178,188
M11,Mard_M11,#9F7594,159,117,148
M12,Mard_M12,#644749,100,71,73
M13,Mard_M13,#D19066,209,144,102
M14,Mard_M14,#C77362,199,115,98
M15,Mard_M15,#757D78,117,125,120
